date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:58:32	170216/170216	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Jul%202018%2022:32:50%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html	(from )
23:58:33	159/159	---MC-	200	added ('OK')	text/plain	date:Sat,%2001%20Sep%202018%2021:58:31%20GMT	http://wrappixel.com/robots.txt		(from )
23:58:34	1188/1188	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202018%2017:11:24%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/images/favicon.png	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/images/favicon.png	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:34	11508/11508	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2014:31:04%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/libs/chartist/dist/chartist.min.css	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/libs/chartist/dist/chartist.min.css	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:34	2161/2161	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2014:31:04%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/extra-libs/c3/c3.min.css	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/extra-libs/c3/c3.min.css	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:34	6707/6707	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2014:31:04%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/extra-libs/jvector/jquery-jvectormap-2.0.2.css	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/extra-libs/jvector/jquery-jvectormap-2.0.2.css	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:40	479684/479684	---M--	200	added ('OK')	text/css	date:Wed,%2025%20Jul%202018%2023:19:12%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/dist/css/style.min.css	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/dist/css/style.min.css	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:40	15508/15508	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jul%202018%2002:17:12%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/images/logo-icon.png	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/images/logo-icon.png	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:41	1585/1585	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jul%202018%2014:31:04%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/images/logo-text.png	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/images/logo-text.png	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
23:58:41	1593/1593	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jul%202018%2014:31:04%20GMT	http://wrappixel.com/demos/admin-templates/nice-admin/assets/images/logo-light-text.png	C:/My%20Web%20Sites/nice-admin/wrappixel.com/demos/admin-templates/nice-admin/assets/images/logo-light-text.png	(from http://wrappixel.com/demos/admin-templates/nice-admin/html/rtl/index.html)
